Date & Time,Temp(?C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
43099.33333,12.39,16.44,20.34,1475.65
43099.375,13.24,16.48,20.81,1478.69
43099.41667,13.8,16.8,21.47,1481.03
43099.45833,13.86,17.13,21.88,1481.63
43099.5,13.98,17.48,22.36,1482.48
43099.54167,14.32,17.79,22.9,1484.01
43099.58333,14.85,17.67,23.04,1485.62
43099.625,14.82,17.37,22.66,1485.16
43099.66667,14.97,17.38,22.75,1485.68
43099.70833,15.15,17.22,22.66,1486.11
43099.75,14.85,16.84,22.04,1484.63
43099.79167,14.11,16.67,21.46,1481.93
43099.83333,14.05,16.46,21.18,1481.46
43099.875,14.14,16.19,20.91,1481.46
43099.91667,14.42,16.04,20.87,1482.23
43099.95833,14.32,16.01,20.8,1481.88
43100,14.23,16.02,20.76,1481.58
43100.04167,14.29,16.09,20.87,1481.87
43100.08333,14.08,16.12,20.8,1481.16
43100.125,13.83,16.1,20.65,1480.29
43100.16667,13.43,16.02,20.37,1478.79
43100.20833,13.02,15.92,20.05,1477.25
43100.25,12.42,15.79,19.62,1474.98
43100.29167,12.01,15.66,19.28,1473.34
43100.33333,11.54,15.51,18.89,1471.42
43100.375,12.49,15.43,19.24,1474.77
43100.41667,12.46,15.39,19.18,1474.61
43100.45833,13.61,15.47,19.81,1478.78
43100.5,14.05,15.58,20.15,1480.41
43100.54167,14.2,15.76,20.43,1481.15
43100.58333,14.29,15.96,20.72,1481.72
43100.625,14.48,16.11,20.99,1482.52
43100.66667,14.97,16.26,21.41,1484.36
43100.70833,14.78,16.31,21.38,1483.79
43100.75,14.69,16.35,21.38,1483.53
43100.79167,14.72,16.33,21.38,1483.62
43100.83333,15.09,16.42,21.66,1484.95
43100.875,14.94,16.45,21.62,1484.47
43100.91667,14.94,16.55,21.74,1484.6
43100.95833,14.66,16.63,21.7,1483.77
43101,14.63,16.68,21.75,1483.72
43101.04167,14.6,16.8,21.87,1483.76
43101.08333,14.54,16.9,21.96,1483.67
43101.125,14.45,16.94,21.96,1483.41
43101.16667,14.29,16.97,21.92,1482.92
43101.20833,13.83,16.97,21.67,1481.33
43101.25,13.3,16.96,21.39,1479.49
43101.29167,12.9,16.93,21.16,1478.03
43101.33333,12.01,16.93,20.71,1474.89
43101.375,11.73,16.9,20.52,1473.81
43101.41667,11.89,16.89,20.6,1474.38
43101.45833,12.33,16.95,20.89,1476.05
43101.5,12.27,16.88,20.78,1475.74
43101.54167,12.08,16.8,20.59,1474.96
43101.58333,12.01,16.67,20.41,1474.57
43101.625,11.76,16.53,20.13,1473.48
43101.66667,11.41,16.38,19.8,1472.02
43101.70833,11.31,16.22,19.57,1471.47
43101.75,10.96,16.03,19.19,1469.93
43101.79167,10.38,15.83,18.69,1467.51
43101.83333,10.08,15.65,18.36,1466.18
43101.875,9.79,15.48,18.04,1464.85
43101.91667,9.69,15.35,17.86,1464.32
43101.95833,9.03,15.23,17.43,1461.61
43102,8.4,15.07,16.98,1458.92
43102.04167,8.96,14.77,16.92,1460.77
43102.08333,8.76,14.35,16.39,1459.46
43102.125,8.29,13.86,15.68,1457
43102.16667,7.69,13.53,15.09,1454.14
43102.20833,7.51,13.21,14.7,1453.05
43102.25,6.48,13,14.09,1448.53
43102.29167,5.63,12.81,13.58,1444.73
43102.33333,4.63,12.67,13.08,1440.25
43102.375,4.12,12.5,12.73,1437.79
43102.41667,4.27,12.32,12.61,1438.19
43102.45833,4.78,11.67,12.16,1439.57
43102.5,4.96,11.23,11.8,1439.8
43102.54167,7.75,11.46,12.97,1451.8
43102.58333,6.65,11.46,12.6,1447.29
43102.625,7.14,11.37,12.67,1449.17
43102.66667,7.17,11.19,12.5,1449.09
43102.70833,7.24,10.88,12.19,1448.98
43102.75,7.58,10.58,11.99,1450
43102.79167,7.27,10.43,11.74,1448.55
43102.83333,7.07,10.37,11.61,1447.62
43102.875,6.76,10.3,11.45,1446.25
43102.91667,6.65,10.17,11.28,1445.64
43102.95833,6.44,10.04,11.08,1444.6
43103,7,9.87,11.08,1446.71
43103.04167,7.27,9.8,11.09,1447.76
43103.08333,7.24,9.79,11.06,1447.6
43103.125,7.24,9.83,11.1,1447.65
43103.16667,6.79,9.87,11.02,1445.85
43103.20833,6.58,9.85,10.93,1444.95
43103.25,5.74,9.81,10.64,1441.35
43103.29167,6.09,9.72,10.65,1442.72
43103.33333,5.85,9.61,10.47,1441.54
43103.375,5.49,9.49,10.25,1439.86
43103.41667,5.17,9.38,10.05,1438.34
43103.45833,5.88,9.26,10.13,1441.24
43103.5,6.62,9.08,10.14,1444.11
43103.54167,6.41,8.93,9.93,1443.04
43103.58333,6.93,8.83,9.97,1445.1
43103.625,7.45,8.75,10.02,1447.13
43103.66667,7.48,8.66,9.93,1447.15
43103.70833,7.31,8.54,9.76,1446.3
43103.75,7.21,8.42,9.6,1445.72
43103.79167,7.1,8.31,9.46,1445.15
43103.83333,7.24,8.22,9.41,1445.62
43103.875,6.76,8.16,9.22,1443.53
43103.91667,6.96,8.11,9.22,1444.33
43103.95833,6.79,8.05,9.12,1443.54
43104,7,8.01,9.12,1444.35
43104.04167,7.31,8.03,9.22,1445.65
43104.08333,7.48,8.13,9.37,1446.49
43104.125,7.48,8.33,9.58,1446.74
43104.16667,7.21,8.55,9.75,1445.89
43104.20833,7.07,8.77,9.94,1445.6
43104.25,6.65,9,10.07,1444.15
43104.29167,6.02,9.21,10.12,1441.78
43104.33333,5.49,9.4,10.15,1439.75
43104.375,5.53,9.54,10.31,1440.09
43104.41667,5.53,9.63,10.4,1440.2
43104.45833,5.92,9.67,10.55,1441.91
43104.5,6.65,9.68,10.78,1445.03
43104.54167,7.14,9.65,10.88,1446.99
43104.58333,7.24,9.61,10.87,1447.37
43104.625,7.75,9.51,10.92,1449.35
43104.66667,7.79,9.38,10.79,1449.33
43104.70833,7.65,9.25,10.61,1448.6
43104.75,7.58,9.12,10.46,1448.16
43104.79167,7.45,8.98,10.27,1447.43
43104.83333,7.24,8.86,10.09,1446.43
43104.875,7.03,8.74,9.9,1445.41
43104.91667,7.14,8.63,9.81,1445.7
43104.95833,6.96,8.5,9.64,1444.83
43105,6.86,8.37,9.47,1444.23
43105.04167,6.93,8.28,9.4,1444.41
43105.08333,7.03,8.19,9.33,1444.72
43105.125,7.27,8.14,9.33,1445.65
43105.16667,7.31,8.14,9.34,1445.8
43105.20833,6.96,8.18,9.3,1444.42
43105.25,6.16,8.24,9.16,1441.13
43105.29167,5.99,8.28,9.15,1440.43
43105.33333,5.17,8.29,8.96,1436.94
43105.375,4.7,8.27,8.82,1434.87
43105.41667,5.1,8.26,8.91,1436.59
43105.45833,6.41,8.23,9.21,1442.16
43105.5,6.69,8.18,9.23,1443.27
43105.54167,6.41,8.12,9.1,1442.02
43105.58333,6.96,8.1,9.21,1444.32
43105.625,7.65,8.2,9.49,1447.27
43105.66667,7.82,8.35,9.7,1448.17
43105.70833,7.86,8.55,9.91,1448.55
43105.75,7.89,8.74,10.14,1448.94
43105.79167,7.79,8.93,10.31,1448.76
43105.83333,7.92,9.13,10.56,1449.56
43105.875,7.51,9.3,10.62,1448.1
43105.91667,7.34,9.43,10.72,1447.57
43105.95833,7.38,9.54,10.84,1447.85
43106,7.79,9.62,11.05,1449.63
43106.04167,7.58,9.71,11.08,1448.9
43106.08333,7.48,9.85,11.19,1448.66
43106.125,6.93,10.16,11.36,1446.79
43106.16667,7.24,10.45,11.75,1448.43
43106.20833,7.45,10.77,12.15,1449.68
43106.25,7.45,11.11,12.51,1450.12
43106.29167,6.44,11.53,12.6,1446.51
43106.33333,6.37,11.84,12.88,1446.61
43106.375,6.06,12.07,13,1445.57
43106.41667,6.79,12.17,13.36,1448.76
43106.45833,7.45,12.25,13.69,1451.56
43106.5,9.69,12.27,14.53,1460.49
43106.54167,8.43,12.42,14.22,1455.72
43106.58333,8.93,12.48,14.48,1457.79
43106.625,8.7,12.55,14.47,1456.96
43106.66667,8.66,12.64,14.55,1456.93
43106.70833,8.63,12.76,14.66,1456.95
43106.75,8.63,12.92,14.83,1457.15
43106.79167,8.7,13.09,15.03,1457.62
43106.83333,8.7,13.27,15.23,1457.85
43106.875,8.29,13.47,15.28,1456.51
43106.91667,8.93,13.61,15.68,1459.2
43106.95833,8.7,13.72,15.7,1458.41
43107,8.7,13.78,15.77,1458.49
43107.04167,8.46,13.84,15.73,1457.64
43107.08333,8.19,13.88,15.67,1456.62
43107.125,8.36,13.95,15.8,1457.38
43107.16667,8.33,14.06,15.91,1457.39
43107.20833,8.19,14.26,16.05,1457.09
43107.25,8.16,14.5,16.29,1457.27
43107.29167,8.06,14.79,16.55,1457.23
43107.33333,7.58,15.04,16.59,1455.63
43107.375,7.31,15.32,16.76,1454.88
43107.41667,7.72,15.52,17.14,1456.78
43107.45833,9.4,15.8,18.2,1463.73
43107.5,11.44,16.13,19.53,1471.83
43107.54167,9.49,16.28,18.75,1464.71
43107.58333,9.69,16.44,19.02,1465.66
43107.625,9.2,16.5,18.84,1463.83
43107.66667,9.1,16.43,18.73,1463.37
43107.70833,9.33,16.58,18.99,1464.44
43107.75,9.23,16.68,19.05,1464.19
43107.79167,9.23,16.8,19.17,1464.33
43107.83333,9.26,16.87,19.26,1464.55
43107.875,9.3,16.97,19.39,1464.81
43107.91667,9.16,17.07,19.42,1464.41
43107.95833,9.56,17.15,19.71,1466.04
43108,9.43,17.25,19.74,1465.66
43108.04167,9.4,17.26,19.74,1465.55
43108.08333,9.49,17.12,19.64,1465.75
43108.125,9.36,16.97,19.42,1465.06
43108.16667,9.26,16.87,19.26,1464.55
43108.20833,8.96,16.81,19.05,1463.32
43108.25,8.96,16.84,19.08,1463.35
43108.29167,8.83,16.96,19.14,1462.99
43108.33333,8.8,17.06,19.24,1462.99
43108.375,8.83,17.2,19.39,1463.29
43108.41667,9,17.33,19.61,1464.1
43108.45833,9.2,17.46,19.84,1465.03
43108.5,9.43,17.54,20.05,1466.02
43108.54167,9.72,17.62,20.29,1467.25
43108.58333,10.31,17.74,20.72,1469.62
43108.625,10.18,17.77,20.68,1469.17
43108.66667,10.02,17.82,20.65,1468.61
43108.70833,10.22,17.97,20.91,1469.53
43108.75,10.15,18.18,21.1,1469.55
43108.79167,10.18,18.42,21.38,1469.98
43108.83333,10.18,18.58,21.54,1470.17
43108.875,10.22,18.64,21.62,1470.36
43108.91667,10.28,18.76,21.79,1470.76
43108.95833,10.48,18.94,22.08,1471.7
43109,11.09,19.11,22.61,1474.18
43109.04167,11.18,19.1,22.65,1474.53
43109.08333,10.41,19.05,22.17,1471.6
43109.125,10.64,19.1,22.34,1472.5
43109.16667,11.18,19.23,22.79,1474.68
43109.20833,11.02,19.1,22.56,1473.94
43109.25,10.9,19.09,22.48,1473.44
43109.29167,10.64,19.1,22.34,1472.5
43109.33333,10.41,19.09,22.21,1471.66
43109.375,10.41,19.18,22.3,1471.76
43109.41667,10.48,19.27,22.43,1472.11
43109.45833,10.93,19.41,22.84,1473.96
43109.5,11.92,19.68,23.7,1477.89
43109.54167,12.71,19.87,24.37,1480.91
43109.58333,12.77,19.93,24.48,1481.21
43109.625,12.58,19.93,24.37,1480.55
43109.66667,12.86,20.02,24.64,1481.65
43109.70833,12.68,20.03,24.53,1481
43109.75,12.55,20,24.42,1480.52
43109.79167,12.96,20.07,24.74,1482.04
43109.83333,12.71,20.06,24.58,1481.15
43109.875,12.74,20.09,24.64,1481.3
43109.91667,12.71,20.15,24.69,1481.26
43109.95833,12.93,20.23,24.91,1482.13
43110,13.98,20.42,25.76,1485.99
43110.04167,14.39,20.46,26.06,1487.4
43110.08333,14.63,20.44,26.17,1488.19
43110.125,13.8,20.21,25.41,1485.11
43110.16667,12.71,20.01,24.53,1481.09
43110.20833,14.02,20.1,25.41,1485.71
43110.25,13.71,20.01,25.13,1484.56
43110.29167,13.43,19.96,24.91,1483.54
43110.33333,13.18,19.85,24.63,1482.54
43110.375,12.65,19.8,24.26,1480.62
43110.41667,12.68,19.83,24.32,1480.77
43110.45833,12.8,19.91,24.48,1481.3
43110.5,13.43,20.01,24.96,1483.6
43110.54167,14.26,20.22,25.7,1486.69
43110.58333,15.36,20.36,26.54,1490.53
43110.625,13.98,20.27,25.58,1485.81
43110.66667,14.54,20.38,26.05,1487.82
43110.70833,14.69,20.46,26.24,1488.42
43110.75,14.88,20.52,26.42,1489.1
43110.79167,14.54,20.49,26.18,1487.94
43110.83333,14.11,20.51,25.94,1486.52
43110.875,13.98,20.52,25.88,1486.12
43110.91667,13.92,20.61,25.94,1486.01
43110.95833,13.8,20.84,26.12,1485.86
43111,14.2,20.94,26.49,1487.34
43111.04167,14.32,20.98,26.61,1487.81
43111.08333,15.79,21.18,27.77,1492.88
43111.125,16.58,21.04,28.11,1495.23
43111.16667,15.24,20.75,26.92,1490.59
43111.20833,14.14,20.6,26.06,1486.73
43111.25,15.27,20.73,26.92,1490.67
43111.29167,15.27,20.68,26.86,1490.61
43111.33333,14.97,20.63,26.6,1489.54
43111.375,14.75,20.58,26.42,1488.77
43111.41667,14.63,20.65,26.42,1488.44
43111.45833,14.78,20.67,26.54,1488.98
43111.5,14.94,20.81,26.8,1489.65
43111.54167,15.09,20.83,26.92,1490.19
43111.58333,16.42,26.29,34.28,1500.91
43111.625,16.64,25.75,33.8,1500.93
43111.66667,16.39,26.07,33.99,1500.55
43111.70833,16.3,26.37,34.28,1500.63
43111.75,15.97,26.52,34.19,1499.75
43111.79167,15.97,26.52,34.19,1499.75
43111.83333,16.18,27.13,35.07,1501.13
43111.875,16.18,26.87,34.77,1500.83
43111.91667,16.12,26.83,34.67,1500.59
43111.95833,16.12,26.75,34.57,1500.49
43112,16.21,26.68,34.57,1500.7
43112.04167,16.55,26.29,34.37,1501.29
43112.08333,16.67,25.97,34.08,1501.28
43112.125,16.85,25.61,33.79,1501.42
43112.16667,17.06,25.01,33.23,1501.37
43112.20833,17.39,24.28,32.59,1501.54
43112.25,16.24,26.25,34.09,1500.29
43112.29167,16.39,25.91,33.8,1500.36
43112.33333,16.94,26.11,34.46,1502.29
43112.375,16.12,26.09,33.81,1499.72
43112.41667,15.88,26.25,33.81,1499.15
43112.45833,15.27,26.51,33.64,1497.5
43112.5,15.49,25.57,32.72,1497.08
43112.54167,15.58,25.05,32.19,1496.76
43112.58333,16.3,24.74,32.35,1498.7
43112.625,16.64,24.38,32.17,1499.33
43112.66667,16.91,24.14,32.07,1499.89
43112.70833,17.21,23.89,31.98,1500.53
43112.75,17.12,23.87,31.9,1500.23
43112.79167,17.06,23.69,31.64,1499.84
43112.83333,16.52,23.88,31.48,1498.37
43112.875,16.52,23.74,31.32,1498.2
43112.91667,16.24,23.84,31.24,1497.46
43112.95833,16.03,23.83,31.08,1496.77
43113,15.97,23.72,30.91,1496.46
43113.04167,16.36,23.42,30.82,1497.35
43113.08333,16.15,23.01,30.19,1496.19
43113.125,15.91,22.76,29.73,1495.13
43113.16667,15.58,22.69,29.43,1493.98
43113.20833,15.24,22.02,28.41,1492.09
43113.25,14.88,21.01,26.99,1489.68
43113.29167,14.57,21.46,27.32,1489.2
43113.33333,14.66,20.26,25.99,1488.09
43113.375,14.32,20.6,26.18,1487.36
43113.41667,14.54,20.54,26.24,1488
43113.45833,13.95,19.93,25.18,1485.3
43113.5,13.95,19.17,24.3,1484.39
43113.54167,14.02,18.96,24.09,1484.35
43113.58333,14.26,15.95,20.69,1481.59
43113.625,14.54,13.97,18.44,1480.18
43113.66667,14.48,13.19,17.47,1479.04
43113.70833,14.11,13.88,18.14,1478.59
43113.75,13.77,13.32,17.33,1476.74
43113.79167,13.49,13.72,17.69,1476.25
43113.83333,13.27,13.23,17.02,1474.89
43113.875,13.08,12.41,15.97,1473.24
43113.91667,12.96,11.66,15.04,1471.89
43113.95833,12.65,11.4,14.61,1470.44
43114,12.39,11.16,14.24,1469.24
43114.04167,11.98,11.04,13.96,1467.59
43114.08333,11.6,10.77,13.52,1465.87
43114.125,11.6,12.48,15.48,1467.95
43114.16667,11.02,12.93,15.77,1466.36
43114.20833,10.22,11.83,14.24,1461.95
43114.25,9.03,11.42,13.37,1456.85
43114.29167,8.23,11.73,13.42,1454.06
43114.33333,7.17,11.87,13.2,1449.95
43114.375,7.17,11.99,13.32,1450.1
43114.41667,9.86,12.57,14.92,1461.49
43114.45833,9.4,13.32,15.56,1460.65
43114.5,10.12,12.97,15.46,1462.99
43114.54167,10.73,12.63,15.33,1464.91
43114.58333,11.18,12.42,15.26,1466.34
43114.625,11.34,12.25,15.12,1466.72
43114.66667,11.98,12.09,15.18,1468.88
43114.70833,12.05,12.41,15.58,1469.5
43114.75,12.08,12.84,16.09,1470.14
43114.79167,11.98,13.09,16.33,1470.09
43114.83333,11.12,12.63,15.47,1466.35
43114.875,10.99,12.31,15.06,1465.49
43114.91667,11.09,12.24,15.02,1465.76
43114.95833,10.7,12.18,14.8,1464.23
43115,10.38,11.9,14.38,1462.67
43115.04167,10.41,11.74,14.21,1462.59
43115.08333,10.02,11.46,13.76,1460.75
43115.125,8.96,11.8,13.75,1457.06
43115.16667,8.26,11.97,13.69,1454.49
43115.20833,8.13,12.1,13.78,1454.12
43115.25,8.19,12.11,13.82,1454.4
43115.29167,7.27,12.1,13.47,1450.67
43115.33333,7.03,12.23,13.52,1449.85
43115.375,6.83,12.43,13.64,1449.24
43115.41667,9.3,12.41,14.53,1459.12
43115.45833,9.03,12.57,14.61,1458.3
43115.5,9.59,12.8,15.07,1460.76
43115.54167,10.18,13.02,15.54,1463.3
43115.58333,10.44,13.11,15.74,1464.4
43115.625,10.9,13.16,15.98,1466.17
43115.66667,11.31,13.18,16.17,1467.74
43115.70833,11.47,13.24,16.3,1468.4
43115.75,11.38,13.3,16.34,1468.13
43115.79167,11.7,13.41,16.59,1469.44
43115.83333,11.18,13.48,16.45,1467.63
43115.875,11.18,13.55,16.53,1467.72
43115.91667,10.93,13.7,16.59,1466.95
43115.95833,10.8,14.43,17.35,1467.36
43116,10.93,15.05,18.09,1468.6
43116.04167,10.9,15.55,18.63,1469.1
43116.08333,10.93,15.99,19.13,1469.76
43116.125,10.38,16.29,19.2,1468.08
43116.16667,9.76,16.21,18.81,1465.63
43116.20833,9.36,15.82,18.2,1463.62
43116.25,9.1,15.74,17.99,1462.5
43116.29167,8.43,15.84,17.8,1460.02
43116.33333,7.72,15.9,17.53,1457.27
43116.375,8.93,16.14,18.34,1462.35
43116.41667,9.53,16.26,18.75,1464.81
43116.45833,9.69,16.16,18.72,1465.32
43116.5,10.44,16.18,19.1,1468.18
43116.54167,10.67,16.22,19.26,1469.08
43116.58333,10.9,16.26,19.41,1469.97
43116.625,11.15,16.32,19.6,1471
43116.66667,11.38,16.31,19.7,1471.81
43116.70833,12.42,16.33,20.23,1475.63
43116.75,13.21,16.24,20.51,1478.29
43116.79167,12.65,16.11,20.09,1476.15
43116.83333,12.42,16.06,19.92,1475.3
43116.875,12.49,15.94,19.82,1475.38
43116.91667,12.68,15.77,19.72,1475.85
43116.95833,12.42,15.68,19.49,1474.84
43117,11.38,15.85,19.19,1471.25
43117.04167,11.34,16.26,19.63,1471.64
43117.08333,11.5,16.55,20.03,1472.58
43117.125,11.89,16.76,20.45,1474.22
43117.16667,11.98,16.78,20.52,1474.59
43117.20833,11.57,16.53,20.03,1472.78
43117.25,11.7,16.08,19.6,1472.7
43117.29167,11.34,15.7,19.01,1470.95
43117.33333,10.9,15.37,18.44,1468.88
43117.375,10.86,15.14,18.17,1468.48
43117.41667,11.31,15,18.22,1469.98
43117.45833,11.6,14.91,18.24,1470.92
43117.5,11.6,14.94,18.27,1470.95
43117.54167,11.6,15.08,18.43,1471.13
43117.58333,11.82,15.26,18.74,1472.16
43117.625,11.95,15.39,18.94,1472.78
43117.66667,11.95,15.44,19,1472.85
43117.70833,11.98,15.43,19,1472.94
43117.75,11.54,15.41,18.77,1471.29
43117.79167,10.96,15.4,18.49,1469.15
43117.83333,10.8,15.42,18.44,1468.57
43117.875,10.41,15.41,18.25,1467.11
43117.91667,10.15,15.42,18.14,1466.14
43117.95833,9.86,15.38,17.96,1464.97
43118,9.76,15.3,17.84,1464.5
43118.04167,9.26,15.29,17.6,1462.58
43118.08333,9.13,15.23,17.48,1461.99
43118.125,8.4,15.2,17.12,1459.08
43118.16667,7.65,15.17,16.75,1456.07
43118.20833,7.17,15.06,16.43,1453.99
43118.25,6.37,15,16.02,1450.63
43118.29167,5.78,14.87,15.64,1447.97
43118.33333,4.85,14.78,15.17,1443.91
43118.375,4.52,14.72,14.97,1442.42
43118.41667,5.24,14.64,15.2,1445.41
43118.45833,6.93,14.49,15.76,1452.28
43118.5,6.69,14.47,15.64,1451.26
43118.54167,7.07,14.38,15.7,1452.71
43118.58333,7.62,14.32,15.88,1454.86
43118.625,8.36,14.24,16.11,1457.74
43118.66667,8.76,14.11,16.14,1459.17
43118.70833,8.93,13.94,16.03,1459.61
43118.75,8.86,13.78,15.83,1459.15
43118.79167,9.23,13.66,15.85,1460.42
43118.83333,9,13.63,15.73,1459.49
43118.875,8.6,13.61,15.55,1457.89
43118.91667,8.19,13.55,15.32,1456.21
43118.95833,8.5,13.35,15.23,1457.16
43119,8.43,13.2,15.05,1456.7
43119.04167,8.19,13.13,14.89,1455.68
43119.08333,8.26,13.12,14.9,1455.94
43119.125,8.56,13.15,15.05,1457.17
43119.16667,8.66,13.21,15.15,1457.65
43119.20833,8.13,13.37,15.11,1455.71
43119.25,7.48,13.41,14.89,1453.16
43119.29167,7.41,13.35,14.8,1452.81
43119.33333,6.76,13.28,14.47,1450.03
43119.375,6.62,13.15,14.29,1449.29
43119.41667,7.24,13.03,14.41,1451.7
43119.45833,9.06,12.98,15.06,1458.93
43119.5,8.86,13.09,15.1,1458.29
43119.54167,9.53,13.46,15.76,1461.33
43119.58333,9.92,13.87,16.36,1463.35
43119.625,10.05,14.24,16.83,1464.32
43119.66667,10.05,14.61,17.22,1464.76
43119.70833,10.15,14.95,17.64,1465.57
43119.75,10.28,15.27,18.04,1466.45
43119.79167,10.38,15.55,18.38,1467.16
43119.83333,10.22,15.74,18.52,1466.79
43119.875,9.92,15.87,18.53,1465.83
43119.91667,10.18,15.91,18.69,1466.88
43119.95833,10.12,15.74,18.47,1466.41
43120,9.95,15.68,18.33,1465.72
43120.04167,9.49,15.71,18.15,1463.99
43120.08333,9.26,15.81,18.15,1463.23
43120.125,9.3,15.95,18.31,1463.53
43120.16667,9.3,16.05,18.42,1463.66
43120.20833,9.46,16.21,18.67,1464.5
43120.25,9,16.24,18.48,1462.74
43120.29167,8.96,16.17,18.39,1462.53
43120.33333,8.73,16,18.1,1461.4
43120.375,8.46,15.83,17.8,1460.13
43120.41667,8.83,15.71,17.84,1461.43
43120.45833,8.9,15.58,17.74,1461.53
43120.5,9.43,15.45,17.84,1463.42
43120.54167,9.79,15.48,18.04,1464.85
43120.58333,9.86,15.65,18.25,1465.3
43120.625,9.99,15.87,18.55,1466.08
43120.66667,10.02,16.07,18.78,1466.45
43120.70833,10.08,16.23,18.99,1466.9
43120.75,10.15,16.43,19.23,1467.39
43120.79167,10.28,16.57,19.45,1468.05
43120.83333,10.48,16.69,19.67,1468.93
43120.875,10.44,16.7,19.67,1468.83
43120.91667,10.44,16.64,19.61,1468.76
43120.95833,10.35,16.66,19.57,1468.41
43121,10.31,16.7,19.61,1468.34
43121.04167,10.31,16.8,19.7,1468.45
43121.08333,10.08,16.87,19.67,1467.69
43121.125,9.86,16.95,19.64,1466.92
43121.16667,9.76,17.12,19.77,1466.76
43121.20833,9.82,17.28,19.97,1467.2
43121.25,9.95,17.41,20.18,1467.86
43121.29167,9.89,17.47,20.22,1467.69
43121.33333,9.86,17.42,20.15,1467.51
43121.375,9.86,17.29,20.01,1467.35
43121.41667,10.18,17.23,20.11,1468.51
43121.45833,11.12,17.18,20.53,1471.94
43121.5,10.93,17.04,20.28,1471.05
43121.54167,11.41,17.01,20.49,1472.79
43121.58333,11.38,17,20.45,1472.65
43121.625,11.41,17.15,20.64,1472.95
43121.66667,11.76,17.32,21.01,1474.44
43121.70833,11.82,17.5,21.24,1474.89
43121.75,11.82,17.65,21.4,1475.07
43121.79167,11.92,17.78,21.61,1475.58
43121.83333,12.68,17.99,22.24,1478.53
43121.875,12.71,17.97,22.24,1478.62
43121.91667,12.83,17.95,22.28,1479.04
43121.95833,12.83,17.8,22.11,1478.85
43122,12.14,17.86,21.81,1476.47
43122.04167,12.33,17.85,21.9,1477.13
43122.08333,12.08,17.89,21.81,1476.28
43122.125,11.47,17.96,21.57,1474.18
43122.16667,11.47,18.11,21.74,1474.37
43122.20833,11.5,18.29,21.95,1474.7
43122.25,11.5,18.49,22.16,1474.94
43122.29167,11.6,18.64,22.38,1475.47
43122.33333,11.92,18.81,22.74,1476.82
43122.375,12.49,18.81,23.06,1478.86
43122.41667,13.24,18.77,23.44,1481.46
43122.45833,13.15,18.61,23.2,1480.93
43122.5,13.64,18.62,23.49,1482.67
43122.54167,14.2,18.64,23.83,1484.6
43122.58333,13.8,18.71,23.68,1483.31
43122.625,13.46,18.75,23.54,1482.19
43122.66667,13.33,18.9,23.64,1481.93
43122.70833,13.27,19.07,23.79,1481.92
43122.75,13.33,19.26,24.05,1482.36
43122.79167,13.52,19.39,24.31,1483.17
43122.83333,14.32,19.59,25.01,1486.15
43122.875,14.75,19.71,25.4,1487.74
43122.91667,15.03,19.77,25.63,1488.72
43122.95833,15.61,19.77,25.98,1490.63
43123,15.7,19.63,25.86,1490.75
43123.04167,14.2,19.51,24.84,1485.64
43123.08333,14.91,19.63,25.4,1488.15
43123.125,14.29,19.56,24.95,1486.01
43123.16667,14.11,19.56,24.84,1485.38
43123.20833,13.86,19.59,24.73,1484.58
43123.25,13.92,19.66,24.84,1484.87
43123.29167,14.02,19.66,24.9,1485.18
43123.33333,14.82,19.78,25.51,1488.02
43123.375,15.09,19.84,25.75,1489
43123.41667,15.4,19.78,25.86,1489.94
43123.45833,16.09,19.78,26.28,1492.21
43123.5,16.64,19.71,26.52,1493.87
43123.54167,16.15,19.45,25.91,1492.01
43123.58333,16.21,19.37,25.85,1492.12
43123.625,16.03,19.31,25.67,1491.46
43123.66667,16.12,19.31,25.73,1491.76
43123.70833,16.39,19.33,25.91,1492.65
43123.75,16.27,19.19,25.67,1492.1
43123.79167,16.15,19.01,25.38,1491.5
43123.83333,15.73,18.61,24.65,1489.66
43123.875,16,18.35,24.49,1490.24
43123.91667,16.15,18.15,24.33,1490.49
43123.95833,15.7,17.89,23.76,1488.7
43124,15.46,17.47,23.12,1487.41
43124.04167,15.43,17.1,22.66,1486.87
43124.08333,15.4,16.63,22.08,1486.22
43124.125,15,16.12,21.25,1484.29
43124.16667,15.06,15.65,20.71,1483.94
43124.20833,14.78,15.22,20.07,1482.51
43124.25,14.45,14.91,19.54,1480.99
43124.29167,14.32,14.62,19.13,1480.22
43124.33333,14.29,14.41,18.87,1479.86
43124.375,13.58,14.18,18.28,1477.13
43124.41667,13.68,13.91,17.99,1477.12
43124.45833,13.8,13.82,17.94,1477.45
43124.5,14.54,13.79,18.22,1479.96
43124.54167,15.15,13.77,18.46,1482.02
43124.58333,15.64,13.75,18.65,1483.63
43124.625,15.55,13.7,18.54,1483.26
43124.66667,15.91,13.61,18.59,1484.37
43124.70833,15.76,13.49,18.37,1483.72
43124.75,15.55,13.39,18.16,1482.89
43124.79167,15.43,13.31,18,1482.39
43124.83333,15.52,13.23,17.95,1482.61
43124.875,15.03,13.14,17.63,1480.86
43124.91667,14.57,13.1,17.4,1479.25
43124.95833,14.05,13.02,17.08,1477.35
43125,13.64,12.97,16.87,1475.9
43125.04167,13.74,12.91,16.83,1476.14
43125.08333,13.55,12.85,16.68,1475.42
43125.125,13.64,12.8,16.66,1475.69
